artist_name,song_name,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Chris Brown,Next To You,59,265813,0.67,0.676,8,-4.725,1,0.037,0.0201,0,0.11,0.349,114.974,4
The Vamps,Somebody To You,61,185097,0.526,0.818,3,-5.952,1,0.0358,0.0587,0,0.333,0.896,171.957,4
Josh Daniel,Jealous,52,292538,0.297,0.335,0,-5.03,1,0.0359,0.816,0,0.152,0.303,79.392,4
Glee Cast,Let Me Love You (Until You Learn To Love Yourself) (Glee Cast Version),35,219040,0.406,0.177,5,-11.218,1,0.035,0.938,7.8e-05,0.121,0.447,112.853,4
BRKN RBTZ,Marry Your Daughter,55,226064,0.518,0.311,11,-14.73,1,0.0384,0.163,0,0.108,0.304,154.933,3
Keywest,Everything Has Changed,41,242085,0.495,0.334,6,-10.65,1,0.0325,0.708,0.000326,0.123,0.556,79.733,4
Perfect Two,Perfect Two,55,233628,0.52,0.355,7,-7.228,1,0.0503,0.828,0,0.0898,0.743,78.062,4
Troye Sivan,YOUTH,67,185194,0.628,0.737,7,-4.437,1,0.041,0.0625,0,0.0777,0.592,91.507,4
Alex Aiono,Young & Foolish,40,241655,0.716,0.483,9,-5.32,1,0.0341,0.55,0,0.0679,0.373,117.079,4
Austin Mahone,All I Ever Need,3,213746,0.708,0.647,11,-6.128,1,0.0298,0.117,0,0.111,0.654,129.95,4
Imagine Dragons,Believer,20,203782,0.77,0.787,10,-4.402,0,0.113,0.0482,0,0.108,0.699,125.013,4
The Weeknd,I Feel It Coming,34,269186,0.769,0.813,0,-5.9,0,0.143,0.429,0,0.0952,0.567,92.985,4
The Vamps,All Night - Acoustic,10,183963,0.545,0.621,5,-5.235,1,0.0411,0.0466,0,0.149,0.387,152.066,4
Sabrina Carpenter,Thumbs,18,216466,0.721,0.722,8,-3.56,1,0.0577,0.025,0,0.0889,0.112,135.118,4
Jason Derulo,Talk Dirty (feat. 2 Chainz),54,177685,0.76,0.652,6,-7.321,1,0.232,0.0348,0,0.307,0.759,100.315,4
Jonas Brothers,Critical,36,215000,0.481,0.662,3,-6.688,1,0.046,0.0163,0,0.101,0.203,119.883,4
Jessie J,"Flashlight - From ""Pitch Perfect 2"" Soundtrack",23,208666,0.458,0.623,5,-7.109,1,0.0505,0.322,5.08e-06,0.11,0.417,147.635,4
Conrad Sewell,Start Again,60,217974,0.553,0.343,10,-9.466,1,0.0407,0.68,3.5e-06,0.122,0.216,66.543,3
Charlie Puth,Marvin Gaye (feat. Meghan Trainor),54,187741,0.792,0.621,1,-5.267,0,0.049,0.451,0,0.337,0.829,110.025,4
Mark Ronson,Uptown Funk,34,270626,0.853,0.681,0,-5.003,1,0.0888,0.00966,5.71e-05,0.0233,0.93,115.004,4
